APPROVAL_ID,DEVID,STAGE,ROLE,DESCRIPTION,DATE_ACTION,APPROVED_BY,ISARCHIVED
269,144,5,A,,08:44.5,agoudy,0
270,145,5,A,,09:16.9,agoudy,0
271,147,5,A,,09:44.0,agoudy,0
272,148,5,A,,10:06.0,agoudy,0
273,149,5,A,,33:03.3,agoudy,0
274,150,5,A,,33:06.9,agoudy,0
275,151,5,A,,33:10.2,agoudy,0
276,152,5,A,,33:13.2,agoudy,0
277,153,5,A,,33:16.1,agoudy,0
278,154,5,A,,33:19.0,agoudy,0
279,155,5,A,,33:22.0,agoudy,0
280,156,5,A,,33:25.2,agoudy,0
281,157,5,A,,33:28.3,agoudy,0
282,158,1,A,,52:55.0,,1
283,158,5,A,,04:01.8,agoudy,0
284,159,5,A,,04:20.3,agoudy,0
285,160,5,A,,41:27.2,agoudy,0
286,161,1,A,,07:42.0,,1
287,161,5,A,,41:19.2,agoudy,0
288,162,5,A,,06:45.5,agoudy,0
289,163,5,A,,06:59.8,agoudy,0
290,163,5,P,,40:45.9,agoudy,0
291,164,5,A,,07:20.8,agoudy,0
292,165,5,A,,07:37.5,agoudy,0
293,166,5,A,,40:53.1,agoudy,0
294,167,5,A,,41:05.4,agoudy,0
295,168,5,R,,51:51.3,agoudy,0
296,169,5,R,,51:43.6,agoudy,0
297,170,5,A,,51:34.9,agoudy,0
298,170,5,P,,21:40.2,jfeng,0
299,170,5,R,,11:39.3,agoudy,0
300,171,5,A,,51:22.9,agoudy,0
301,171,5,P,,20:32.3,jfeng,0
302,171,5,R,,11:55.8,agoudy,0
303,172,5,A,,11:35.4,agoudy,0
304,172,5,P,,12:01.7,agoudy,0
305,173,5,K,,17:20.9,cmacke,0
306,173,5,A,,44:13.9,agoudy,0
307,174,5,K,,17:17.7,cmacke,0
308,174,5,A,,44:17.6,agoudy,0
309,175,5,K,,17:14.1,cmacke,0
310,175,5,A,,44:22.6,agoudy,0
311,176,5,K,,17:10.8,cmacke,0
312,176,5,A,,44:37.3,agoudy,0
313,177,5,K,,17:07.7,cmacke,0
314,177,5,A,,44:41.5,agoudy,0
315,178,5,K,,17:04.6,cmacke,0
316,178,5,A,,44:45.3,agoudy,0
317,179,5,K,,17:01.5,cmacke,0
318,179,5,A,,44:49.2,agoudy,0
319,180,5,K,,16:58.1,cmacke,0
320,180,5,A,,44:53.3,agoudy,0
321,181,5,K,,16:55.0,cmacke,0
322,181,5,A,,44:57.6,agoudy,0
323,182,5,K,,16:51.7,cmacke,0
324,182,5,A,,44:33.8,agoudy,0
325,183,5,K,,16:48.3,cmacke,0
326,183,5,A,,45:01.4,agoudy,0
327,184,5,K,,16:44.9,cmacke,0
328,184,5,A,,45:07.0,agoudy,0
329,185,5,K,,16:41.3,cmacke,0
330,185,5,A,,45:20.4,agoudy,0
331,186,5,K,,16:38.0,cmacke,0
332,186,5,A,,45:24.7,agoudy,0
333,187,5,K,,16:33.1,cmacke,0
334,187,5,A,,45:28.9,agoudy,0
335,188,5,K,,16:29.7,cmacke,0
336,188,5,A,,45:32.6,agoudy,0
337,189,5,K,,16:25.6,cmacke,0
338,189,5,A,,45:37.2,agoudy,0
339,190,5,K,,16:19.4,cmacke,0
340,190,5,A,,45:41.9,agoudy,0
341,191,5,K,,16:16.2,cmacke,0
342,191,5,A,,45:46.6,agoudy,0
343,192,5,K,,16:12.3,cmacke,0
344,192,5,A,,45:51.8,agoudy,0
345,193,5,K,,16:06.7,cmacke,0
346,193,5,A,,45:55.4,agoudy,0
347,194,5,K,,16:03.1,cmacke,0
348,194,5,A,,45:59.8,agoudy,0
349,195,5,K,,15:59.6,cmacke,0
350,195,5,A,,46:06.1,agoudy,0
351,196,5,K,,15:55.3,cmacke,0
352,196,5,A,,46:11.1,agoudy,0
353,197,5,K,,15:51.9,cmacke,0
354,197,5,A,,46:14.4,agoudy,0
355,198,5,K,,15:48.6,cmacke,0
356,198,5,A,,46:17.8,agoudy,0
357,199,5,K,,15:45.2,cmacke,0
358,199,5,A,,16:36.9,agoudy,0
359,200,5,K,,15:42.1,cmacke,0
360,200,5,A,,16:33.6,agoudy,0
361,201,5,K,,15:38.7,cmacke,0
362,201,5,A,,49:44.6,agoudy,0
363,202,5,K,,15:35.3,cmacke,0
364,202,5,A,,49:40.3,agoudy,0
365,203,5,K,,15:31.9,cmacke,0
366,203,5,A,,49:36.7,agoudy,0
367,204,5,K,,15:27.8,cmacke,0
368,204,5,A,,49:30.6,agoudy,0
369,205,5,K,,15:24.1,cmacke,0
370,205,5,A,,49:25.2,agoudy,0
371,206,5,K,,14:51.7,cmacke,0
372,206,5,A,,49:21.2,agoudy,0
373,207,5,K,,14:45.5,cmacke,0
374,207,5,A,,49:17.8,agoudy,0
375,208,5,K,,14:39.4,cmacke,0
376,208,5,A,,49:13.8,agoudy,0
377,209,5,K,,14:35.5,cmacke,0
378,209,5,A,,49:10.5,agoudy,0
379,210,5,K,,14:30.8,cmacke,0
380,210,5,A,,49:06.5,agoudy,0
381,211,5,K,,14:24.5,cmacke,0
382,211,5,A,,49:02.5,agoudy,0
383,212,5,K,,14:19.8,cmacke,0
384,212,5,A,,48:59.0,agoudy,0
385,213,5,K,,14:14.1,cmacke,0
386,213,5,A,,48:52.9,agoudy,0
387,214,5,K,,14:09.5,cmacke,0
388,214,5,A,,48:49.1,agoudy,0
389,215,5,K,,14:05.6,cmacke,0
390,215,5,A,,48:45.7,agoudy,0
391,216,5,K,,14:00.7,cmacke,0
392,216,5,A,,48:42.2,agoudy,0
393,217,5,K,,13:48.4,cmacke,0
394,217,5,A,,48:39.0,agoudy,0
395,218,5,K,,13:42.5,cmacke,0
396,218,5,A,,48:35.9,agoudy,0
399,220,5,U,,46:58.2,agoudy,0
400,220,5,A,,16:47.4,agoudy,0
401,221,5,U,,47:52.0,agoudy,0
402,221,5,A,,16:51.9,agoudy,0
403,222,5,U,,48:22.0,agoudy,0
404,222,5,A,,16:56.6,agoudy,0
405,223,5,A,,48:30.0,agoudy,0
408,225,5,A,,00:28.8,agoudy,0
409,225,5,P,,43:21.8,jfeng,0
410,225,5,R,,43:34.1,jfeng,0
411,226,5,A,,22:44.8,agoudy,0
412,227,5,A,,49:30.1,agoudy,0
413,228,5,A,,49:10.7,agoudy,0
414,229,5,A,,37:37.1,agoudy,0
415,230,5,A,,42:01.0,agoudy,0
416,233,5,A,,34:41.1,agoudy,0
417,232,5,K,,04:28.0,cmacke,0
418,232,5,A,,35:11.5,agoudy,0
419,231,5,K,,03:37.4,cmacke,0
420,231,5,A,,35:01.5,agoudy,0
421,234,5,A,,35:31.3,agoudy,0
422,235,5,A,,35:32.4,agoudy,0
423,236,5,A,,55:40.5,agoudy,0
424,237,5,A,,33:41.8,agoudy,0
425,238,5,A,,17:32.1,agoudy,0
426,239,5,A,,17:27.9,agoudy,0
,,,,,,,
,,,,,,,
Disclosure's Proprietary Information,,,,,,,